group	tier	audience	bytes	path
A-doc-quality	T3	HUMAN	33045	plugins/ai-slop/CHANGELOG.md
A-doc-quality	T3	HUMAN	4370	plugins/ai-slop/README.md
A-doc-quality	T2	AGENT	10381	plugins/ai-slop/skills/audit/SKILL.md
A-doc-quality	T3	AGENT	4899	plugins/ai-slop/skills/audit/context/persist-findings.md
A-doc-quality	T3	AGENT	245	plugins/ai-slop/skills/audit/evals/fixtures/em-dash-substitution.md
A-doc-quality	T3	AGENT	327	plugins/ai-slop/skills/audit/evals/fixtures/fix-guarded-rewrite.md
A-doc-quality	T3	AGENT	433	plugins/ai-slop/skills/audit/evals/fixtures/knowledge-cutoff-prose.md
A-doc-quality	T3	AGENT	294	plugins/ai-slop/skills/audit/evals/fixtures/report-only.md
A-doc-quality	T3	AGENT	346	plugins/ai-slop/skills/audit/evals/fixtures/rubric-boundary.md
A-doc-quality	T3	AGENT	395	plugins/ai-slop/skills/audit/evals/fixtures/triads.md
A-doc-quality	T3	AGENT	43523	plugins/ai-slop/skills/audit/reference/catalog.md
A-doc-quality	T3	AGENT	10326	plugins/ai-slop/skills/audit/reference/rewrite-guide.md
A-doc-quality	T2	AGENT	2875	plugins/ai-slop/skills/setup/SKILL.md
A-doc-quality	T3	HUMAN	108476	plugins/docs-hygiene/CHANGELOG.md
A-doc-quality	T3	HUMAN	6706	plugins/docs-hygiene/README.md
A-doc-quality	T3	AGENT	3645	plugins/docs-hygiene/context/clean-tree-fallback.md
A-doc-quality	T3	AGENT	6893	plugins/docs-hygiene/context/derivability-route-followups.md
A-doc-quality	T2	AGENT	20378	plugins/docs-hygiene/skills/audit-derivability/SKILL.md
A-doc-quality	T3	AGENT	11617	plugins/docs-hygiene/skills/audit-derivability/context/rubric.md
A-doc-quality	T3	AGENT	1030	plugins/docs-hygiene/skills/audit-derivability/evals/fixtures/decision-rationale.md
A-doc-quality	T3	AGENT	241	plugins/docs-hygiene/skills/audit-derivability/evals/fixtures/derivable-with-source/runtime-settings.md
A-doc-quality	T2	AGENT	17052	plugins/docs-hygiene/skills/audit-encapsulation/SKILL.md
A-doc-quality	T3	AGENT	7673	plugins/docs-hygiene/skills/audit-encapsulation/context/public-surface-contract.md
A-doc-quality	T2	AGENT	24268	plugins/docs-hygiene/skills/audit-noise/SKILL.md
A-doc-quality	T3	AGENT	7846	plugins/docs-hygiene/skills/audit-noise/context/persist-findings.md
A-doc-quality	T3	AGENT	2464	plugins/docs-hygiene/skills/audit-noise/evals/fixtures/legit-optouts.md
A-doc-quality	T3	AGENT	813	plugins/docs-hygiene/skills/audit-noise/evals/fixtures/negation-shapes.md
A-doc-quality	T3	AGENT	612	plugins/docs-hygiene/skills/audit-noise/evals/fixtures/negation-trigger-fence.md
A-doc-quality	T3	AGENT	901	plugins/docs-hygiene/skills/audit-noise/evals/fixtures/noisy-rule-snippet.md
A-doc-quality	T3	AGENT	450	plugins/docs-hygiene/skills/audit-noise/evals/fixtures/recall-paraphrases.md
A-doc-quality	T2	AGENT	12551	plugins/docs-hygiene/skills/audit-progressive-disclosure/SKILL.md
A-doc-quality	T3	AGENT	8363	plugins/docs-hygiene/skills/audit-progressive-disclosure/context/tier-model.md
A-doc-quality	T2	AGENT	218	plugins/docs-hygiene/skills/audit-progressive-disclosure/evals/fixtures/broken-skill/SKILL.md
A-doc-quality	T3	AGENT	93	plugins/docs-hygiene/skills/audit-progressive-disclosure/evals/fixtures/broken-skill/context/details.md
A-doc-quality	T3	AGENT	90	plugins/docs-hygiene/skills/audit-progressive-disclosure/evals/fixtures/broken-skill/context/queries.md
A-doc-quality	T3	AGENT	99	plugins/docs-hygiene/skills/audit-progressive-disclosure/evals/fixtures/broken-skill/context/scratch-notes.md
A-doc-quality	T2	AGENT	562	plugins/docs-hygiene/skills/audit-progressive-disclosure/evals/fixtures/healthy-skill/SKILL.md
A-doc-quality	T3	AGENT	274	plugins/docs-hygiene/skills/audit-progressive-disclosure/evals/fixtures/healthy-skill/reference/redlining-rules.md
A-doc-quality	T3	AGENT	1561	plugins/docs-hygiene/skills/audit-progressive-disclosure/evals/fixtures/mixed-instructions.md
A-doc-quality	T2	AGENT	17369	plugins/docs-hygiene/skills/compress/SKILL.md
A-doc-quality	T3	AGENT	5919	plugins/docs-hygiene/skills/compress/context/fan-out-orchestration.md
A-doc-quality	T3	AGENT	5540	plugins/docs-hygiene/skills/compress/context/flavor-vs-content-matrix.md
A-doc-quality	T3	AGENT	5330	plugins/docs-hygiene/skills/compress/context/integration.md
A-doc-quality	T3	AGENT	4946	plugins/docs-hygiene/skills/compress/context/semantic-diff-prompt.md
A-doc-quality	T3	AGENT	8388	plugins/docs-hygiene/skills/compress/context/target-types.md
A-doc-quality	T3	AGENT	528	plugins/docs-hygiene/skills/compress/evals/fixtures/audit-fixture-dir/lean.md
A-doc-quality	T3	AGENT	719	plugins/docs-hygiene/skills/compress/evals/fixtures/audit-fixture-dir/mixed.md
A-doc-quality	T3	AGENT	1837	plugins/docs-hygiene/skills/compress/evals/fixtures/audit-fixture-dir/verbose.md
A-doc-quality	T3	AGENT	349	plugins/docs-hygiene/skills/compress/evals/fixtures/terse-agent.md
A-doc-quality	T3	AGENT	602	plugins/docs-hygiene/skills/compress/evals/fixtures/verbose-onboarding-snippet.md
A-doc-quality	T2	AGENT	23483	plugins/docs-hygiene/skills/extract-ssot/SKILL.md
A-doc-quality	T3	AGENT	13757	plugins/docs-hygiene/skills/extract-ssot/actions/batch.md
A-doc-quality	T3	AGENT	27019	plugins/docs-hygiene/skills/extract-ssot/actions/identify.md
A-doc-quality	T3	AGENT	19574	plugins/docs-hygiene/skills/extract-ssot/actions/verify.md
A-doc-quality	T3	AGENT	21524	plugins/docs-hygiene/skills/extract-ssot/context/anti-patterns.md
A-doc-quality	T3	AGENT	6620	plugins/docs-hygiene/skills/extract-ssot/context/citation-form.md
A-doc-quality	T3	AGENT	23832	plugins/docs-hygiene/skills/extract-ssot/context/decision-framework.md
A-doc-quality	T3	AGENT	10670	plugins/docs-hygiene/skills/extract-ssot/context/execution-checklist.md
A-doc-quality	T3	AGENT	24483	plugins/docs-hygiene/skills/extract-ssot/context/lessons.md
A-doc-quality	T3	AGENT	7507	plugins/docs-hygiene/skills/extract-ssot/context/orchestrated-mode.md
A-doc-quality	T2	AGENT	18774	plugins/docs-hygiene/skills/rename-references/SKILL.md
A-doc-quality	T3	AGENT	13671	plugins/docs-hygiene/skills/rename-references/context/apply.md
A-doc-quality	T3	AGENT	13905	plugins/docs-hygiene/skills/rename-references/context/audit-modes.md
A-doc-quality	T3	AGENT	15043	plugins/docs-hygiene/skills/rename-references/context/audit.md
A-doc-quality	T3	AGENT	54115	plugins/docs-hygiene/skills/rename-references/context/patterns.md
A-doc-quality	T3	AGENT	11957	plugins/docs-hygiene/skills/rename-references/context/triage.md
A-doc-quality	T2	AGENT	7594	plugins/docs-hygiene/skills/write-for-agents/SKILL.md
A-doc-quality	T3	AGENT	192	plugins/docs-hygiene/skills/write-for-agents/evals/fixtures/draft-rule.md
A-doc-quality	T3	AGENT	5622	plugins/docs-hygiene/skills/write-for-agents/reference/agent-doc-surfaces.md
A-doc-quality	T2	AGENT	13251	plugins/docs-hygiene/skills/write-for-humans/SKILL.md
A-doc-quality	T3	AGENT	5709	plugins/docs-hygiene/skills/write-for-humans/reference/sentence-rules.md
A-doc-quality	T3	AGENT	2957	plugins/docs-hygiene/skills/write-for-humans/reference/sources.md
A-doc-quality	T3	HUMAN	59737	plugins/markdown-format/CHANGELOG.md
A-doc-quality	T3	HUMAN	15708	plugins/markdown-format/README.md
A-doc-quality	T2	AGENT	9599	plugins/markdown-format/skills/setup/SKILL.md
A-doc-quality	T3	HUMAN	39097	plugins/typos-format/CHANGELOG.md
A-doc-quality	T3	HUMAN	10986	plugins/typos-format/README.md
A-doc-quality	T2	AGENT	8328	plugins/typos-format/skills/setup/SKILL.md
B-cc-config-ops	T3	HUMAN	246361	plugins/claude-config/CHANGELOG.md
B-cc-config-ops	T3	HUMAN	15643	plugins/claude-config/README.md
B-cc-config-ops	T2	AGENT	11850	plugins/claude-config/skills/audit-automation-gaps/SKILL.md
B-cc-config-ops	T3	AGENT	1273	plugins/claude-config/skills/audit-automation-gaps/context/gap-analysis.md
B-cc-config-ops	T3	AGENT	900	plugins/claude-config/skills/audit-automation-gaps/templates/checklist.md
B-cc-config-ops	T2	AGENT	36691	plugins/claude-config/skills/audit-instructions/SKILL.md
B-cc-config-ops	T3	AGENT	9369	plugins/claude-config/skills/audit-instructions/context/persist-findings.md
B-cc-config-ops	T3	AGENT	2155	plugins/claude-config/skills/audit-instructions/context/report-keying.md
B-cc-config-ops	T3	AGENT	277	plugins/claude-config/skills/audit-instructions/evals/fixtures/description-restatement.md
B-cc-config-ops	T3	AGENT	256	plugins/claude-config/skills/audit-instructions/evals/fixtures/frontmatter-emphasis.md
B-cc-config-ops	T3	AGENT	325	plugins/claude-config/skills/audit-instructions/evals/fixtures/inline-fence-not-section.md
B-cc-config-ops	T3	AGENT	316	plugins/claude-config/skills/audit-instructions/evals/fixtures/partial-overlap.md
